Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40
Ch1-Ch2 Shift,3.175,1.0,11.088028454148194,1.7531712337932082,-3.0,1.0,21.0,-11.0,-2.0,-3.0,5.0,-3.0,4.0,-4.0,10.0,8.0,1.0,4.0,-2.0,6.0,1.0,4.0,-12.0,-8.0,-1.0,6.0,10.0,14.0,17.0,1.0,-9.0,6.0,4.0,58.0,-2.0,-2.0,2.0,3.0,-2.0,-5.0,6.0,4.0,-1.0,1.0
Ch 1 Peak Width,22.774578720415104,17.92772448626961,13.34032837501226,2.1092911199805804,12.74880986298357,8.462983960665639,37.38011105230126,,,,,7.558527835786563,12.339853312110392,6.515412519365544,,7.788766043352392,14.807553742308565,12.320184810339768,27.7718085883008,11.434331439891464,16.47454761896128,22.320425301362206,35.06164276824306,20.144228824225564,37.70781099920241,31.58668208093526,10.343509414884021,17.92772448626961,9.687296490841007,8.273088509830757,15.322663537235101,13.4328065816876,11.880846444480852,34.89705045528454,41.31201148244824,35.978668524396994,48.545465400590444,47.836843451266446,25.36614922714974,27.284064599279574,53.027878542234944,20.020915066956647,14.61334050878569,38.93625173057066
Ch 1 Peak Max,1417.3943102999121,1444.6410854103242,190.7964004687326,30.16755974214064,1012.9090800419527,1196.0131655446407,970.0747496481815,,,,,1435.149890513535,1123.1674463842357,1626.2203218304671,,1491.9735656728722,1454.506987573429,1536.6835705087537,1395.730032981789,1219.9047970289287,1262.5568849694794,1577.4552626860404,1221.1796990887967,1531.8129329877665,1421.0931857575292,1255.9063197874457,1323.2899625626972,1387.74912655333,1216.0029368456007,1505.7451817801552,1343.2949478648852,1700.845713726842,1217.44441184302,1465.577088800873,1614.9463760792523,1444.6410854103242,1535.0093294429043,1560.3146418461188,1825.2846648301295,1657.6711058948913,1606.487847816528,1543.7752674675835,1428.7701707771719,1499.6131079487805
Ch 1 Peak Min,507.830430732181,525.8757070435383,75.51916473134091,11.940628377224755,420.83932384631464,553.5514206073676,345.47849120576575,,,,,439.69550806613984,551.6411669138972,632.1003961073991,,475.1999011089947,582.6373172282199,347.1020913818136,518.800865024644,616.368275728419,590.9462388815545,495.2282426198535,566.5112773784133,599.6071364532935,450.34033720747254,434.3310675338671,593.8238381664987,590.319168011478,422.10943213740643,578.6555713129171,531.5526078428162,533.6440956091335,532.6324786324816,595.6901396971359,427.8691215544386,474.3857890361412,482.39320042816803,487.22776174873957,479.7324128862617,399.4936128362724,412.00834596639015,525.8757070435383,530.5778685184305,555.6948669046601
Ch 1 Peak Amp,909.5638795677313,927.0896104672381,203.6851400371271,32.205448402383745,592.0697561956381,642.4617449372731,624.5962584424158,,,,,995.4543824473951,571.5262794703385,994.119925723068,,1016.7736645638774,871.869670345209,1189.5814791269402,876.929167957145,603.5365213005097,671.6106460879249,1082.227020066187,654.6684217103834,932.205796534473,970.7528485500567,821.5752522535786,729.4661243961984,797.4299585418519,793.8935047081943,927.0896104672381,811.742340022069,1167.2016181177084,684.8119332105383,869.8869491037372,1187.0772545248137,970.255296374183,1052.6161290147363,1073.0868800973792,1345.5522519438678,1258.177493058619,1194.479501850138,1017.8995604240451,898.1923022587414,943.9182410441204
Ch 1 Peak Rel Amp,1.8562126442841995,1.6986268854739435,0.6004327276176115,0.09493675004895691,1.406878403815359,1.1606180040733187,1.8079164820434754,,,,,2.263963047577136,1.0360471874637034,1.5727247314588912,,2.1396756653168243,1.496419203790368,3.4271803848579987,1.6903001268424815,0.9791816760641276,1.1365004156030145,2.1853095743106166,1.1556141031118146,1.554694298751208,2.1555982627930335,1.8915875783845832,1.2284217599760079,1.3508454438774835,1.8807765102243996,1.6021441016523106,1.5271157135628368,2.1872285812239602,1.2857119321164436,1.4603010712012288,2.77439337106681,2.0452874407253034,2.182070825377396,2.2024337780874723,2.804797457500293,3.149430810985876,2.8991633629372604,1.9356276526760554,1.6928567050239511,1.6986268854739435
Ch 2 Peak Width,20.599575675803916,16.568452039031598,12.19778173885199,1.9286386348190727,6.133870334349337,,10.583053628391554,9.008503429081546,14.470135835292059,8.527111146755331,7.787268586740519,,8.9656777211339,10.209966854274711,14.23697348187767,11.614614548232217,13.484438680843898,17.346573718337567,24.870645961597532,16.408104384797088,10.00229334025025,19.33469882513127,16.96398571739765,11.953729888575731,19.47107746614354,16.19183854250305,23.404381458070873,14.275877137664231,38.55680679429868,47.328811598640286,10.686911072443237,19.081063110761363,37.240511462154686,47.55537071545332,19.661246242637098,47.36224382866043,12.73203819621451,13.80036405494139,36.77947616695301,29.891003068038053,45.06584840142235,34.82665292223509,16.72879969326611,20.24190766498772
Ch 2 Peak Max,1409.7773248133096,1384.0669742068421,182.57807220603578,28.86812794868781,1279.9437643423705,,1217.2273596644293,768.383498785601,1292.181331877143,1203.6482468580439,1675.10633500145,,1309.5150102422901,1572.1856787346385,1456.5487228389406,1252.7267800834304,1301.7174216614849,1610.9483729169133,1375.8365146896692,1389.3936595649961,1631.7424160920755,1281.9441129965678,1646.4961068457662,1455.081394906578,1490.5002689618157,1313.6550116550188,1460.6564787194238,1378.7402888486881,1557.032090675456,1455.5628854440124,1668.764047141679,1367.0928054074984,1204.0446313593234,1252.720714406036,1620.056840595311,1510.5996218234063,1624.2380882520831,1598.9683820453142,1660.2678587923435,1300.546997679872,1310.5452589368745,1294.3049537874783,1492.0670557104206,1290.5473345613277
Ch 2 Peak Min,552.1322076509568,570.5701436772263,95.65097953016372,15.123747787072984,638.4437924158283,,633.9380165289272,320.8136339185308,620.1076309083336,541.3055677810952,713.6484750680435,,650.1617900359195,564.2906933781062,663.5568731967354,582.4753886362291,575.7162996288894,529.6645068218518,678.5574573057092,636.4868480392931,652.665584027472,465.01348884215935,422.7584233947873,679.5150971794324,598.8612972109497,646.3630386707346,498.24680370135184,572.2769688547672,418.18618677359973,489.06414331589235,652.0226851625489,578.5279095418987,421.56402106052315,649.1321825028153,568.8633184996852,483.92488630251,500.98763862400506,594.6098967077997,444.9455936448969,486.89964736118844,382.6025668193521,538.8852864307439,441.018050325745,444.9222021180087
Ch 2 Peak Amp,857.6451171623529,815.288987236546,186.30723904764304,29.457760998400577,641.4999719265422,,583.2893431355021,447.5698648670702,672.0737009688095,662.3426790769487,961.4578599334064,,659.3532202063707,1007.8949853565323,792.9918496422052,670.2513914472013,726.0011220325955,1081.2838660950615,697.27905738396,752.906811525703,979.0768320646034,816.9306241544084,1223.737683450979,775.5662977271456,891.638971750866,667.2919729842843,962.409675018072,806.4633199939209,1138.8459039018562,966.49874212812,1016.74136197913,788.5648958655997,782.4806102988002,603.5885319032207,1051.193522095626,1026.6747355208963,1123.250449628078,1004.3584853375145,1215.3222651474466,813.6473503186835,927.9426921175224,755.4196673567344,1051.0490053846756,845.625132443319
