Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21
Ch1-Ch2 Shift,11.705882352941176,1.0,23.471546493780263,5.1219113564487335,,,65.0,,-1.0,1.0,2.0,1.0,1.0,0.0,60.0,0.0,-1.0,62.0,1.0,1.0,1.0,2.0,3.0,1.0,
Ch 1 Peak Width,31.699881772746338,28.81050319849406,15.53208767750379,3.389379403945332,,,,,,,,,18.626673874652838,23.163267129405284,41.39079872288198,17.4026591796395,50.48655126361359,35.26162215403312,28.81050319849406,,10.256040159306414,59.90082027269025,,,
Ch 1 Peak Max,717.201751189906,718.0580507725069,24.376321314642585,5.319349408995957,,,,,,,,,733.1718427476044,707.818342712286,722.0253563668523,760.5229432572132,737.2062629160572,718.0580507725069,682.2055799462598,,678.8054576003333,715.0019243900402,,,
Ch 1 Peak Min,558.081233337467,564.4236592208653,26.063028174036678,5.687419021299513,,,,,,,,,526.4915253258787,522.0057654348158,533.6761978686516,565.4257414863506,549.7570215332483,568.3001115693431,564.4236592208653,,599.8919238406428,592.7591537574075,,,
Ch 1 Peak Amp,159.12051785243887,185.81257727747027,41.520033179048745,9.06041404286042,,,,,,,,,206.6803174217257,185.81257727747027,188.34915849820072,195.09720177086263,187.44924138280885,149.7579392031638,117.78192072539457,,78.9135337596905,122.24277063263276,,,
Ch 1 Peak Rel Amp,0.28860321141866274,0.3409674347769513,0.08424811621781754,0.01838444617740884,,,,,,,,,0.39256152754557305,0.3559588601913118,0.3529277851446491,0.3450447821105652,0.3409674347769513,0.2635191092776876,0.20867644153680878,,0.13154625128884606,0.20622671089557196,,,
Ch 2 Peak Width,41.00937348270713,41.42841192537843,6.840398765030306,1.4926973868778013,,,,,,,48.14408639424441,39.86633759528172,53.434727473093034,49.142458560783496,42.560799051833115,32.92848830653443,44.476417777995835,38.75336138915307,43.15294790590346,43.777422446317686,40.29602479892374,35.88493886705622,35.971638624442804,25.741579566336938,
Ch 2 Peak Max,877.2909964614557,881.588360141978,32.44234668242094,7.079500447342545,,,,,,,838.6741323944168,912.228463585112,868.8321696433632,838.6688260586907,901.8710024759025,900.7237304912179,894.0289798046256,922.2050177225053,916.1836382774661,869.414833288964,839.2042882654818,893.7419821609848,869.4347381229713,816.8621481686794,
Ch 2 Peak Min,632.6324899200797,633.3029304988835,34.86781035881041,7.608780013648288,,,,,,,626.212128494617,645.9387155353066,579.5018777518782,572.3990670255271,610.4937867105704,636.9918846585548,619.7307272715232,640.5732288517872,629.6139763392122,605.8598518808328,641.0466644207938,706.8148667356168,656.8092965697869,684.8687866351077,
Ch 2 Peak Amp,244.6585065413762,265.00080243291336,46.35848490462014,10.116250770423308,,,,,,,212.4620038997998,266.2897480498053,289.330291891485,266.2697590331636,291.37721576533215,263.7318458326631,274.2982525331024,281.6317888707181,286.56966193825394,263.5549814081312,198.15762384468792,186.92711542536802,212.6254415531845,131.99336153357171,
Ch 2 Peak Rel Amp,0.39069687695503125,0.4245184122834208,0.08699894052584331,0.018984725254316104,,,,,,,0.3392812023787338,0.4122523416623571,0.4992741231726704,0.46518202836499184,0.47728121417142527,0.41402701068009784,0.4426087661342051,0.43965588348975587,0.45515136688112695,0.4350098138867437,0.3091157552839459,0.2644640403344655,0.3237247747004031,0.19272795622951447,
