Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33
Ch1-Ch2 Shift,-2.357142857142857,-1.0,7.737728929058696,1.34696571439113,0.0,-2.0,-1.0,15.0,,-32.0,,-19.0,-5.0,-8.0,-8.0,-2.0,-3.0,,,,3.0,2.0,1.0,2.0,2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,-1.0,0.0,1.0,2.0
Ch 1 Peak Width,43.53080174624235,48.1332858751939,12.191309173191701,2.122234523900408,13.005311016699295,17.993604020541863,8.465616391515375,42.690503335938814,,,,,,63.813231434671025,58.28877527014237,41.915135165799654,45.60842113158252,35.3575202920165,40.05289099044228,37.73074124247999,38.8162640107566,38.13977542268967,43.44636173131235,49.29022006472947,47.906368624041875,51.40276225252012,49.094939202583994,50.72105470166437,49.0519703748029,52.31157554035832,52.63038191909606,49.16465722932428,49.72266599619038,48.36020312634592,45.694605490078374,48.85124491818297,49.33564799827869
Ch 1 Peak Max,1474.6764589038128,1607.7046413721912,341.0442122893596,59.36817705258912,722.3066741167015,720.9757253667551,725.8457249713117,691.0238927738965,,,,,,1189.7933629221575,1270.133249746893,1406.0988021087167,1423.3443837091934,1477.2228001429712,1528.1866537589235,1591.2001338469959,1509.0489110518329,1652.569436369562,1624.2091488973865,1667.0025990585523,1729.3950327493546,1639.8605155312703,1767.0688688631676,1719.3221818326808,1740.318603221876,1781.369483641638,1711.7223354216453,1764.3197758168717,1722.3996115901805,1685.8095173841189,1578.1814671127113,1581.226335888932,1670.985621410456
Ch 1 Peak Min,809.9444518266657,774.593914158021,145.92159083946385,25.401688486660298,607.9080503046155,605.8665295897233,613.9906928951251,558.0116907826728,,,,,,826.2704976970721,850.8419197352811,998.4363555161932,997.6628916926131,1107.0797841166439,1047.8377207916838,1017.6047973006017,925.9259331706899,1021.5837032690181,968.1607543367455,786.4751555963721,851.0067865312627,739.4251443971722,750.5541991624453,744.357517256123,717.447867141927,695.2918481630641,717.2885294581139,708.2012753498807,730.1105461705736,760.3237616436959,780.5170309272917,781.5928707612902,768.6707973887503
Ch 1 Peak Amp,664.7320070771467,726.8564153730304,316.6544018151708,55.122456016038605,114.39862381208604,115.1091957770318,111.8550320761866,133.01220199122372,,,,,,363.5228652250854,419.2913300116119,407.66244659252345,425.68149201658025,370.14301602632736,480.34893296723976,573.5953365463942,583.122977881143,630.9857331005439,656.048394560641,880.5274434621801,878.3882462180919,900.4353711340981,1016.5146697007223,974.9646645765579,1022.870736079949,1086.077635478574,994.4338059635314,1056.118500466991,992.2890654196069,925.485755740423,797.6644361854196,799.6334651276418,902.3148240217056
Ch 1 Peak Rel Amp,0.840794421437127,0.849796351598926,0.45503126433982655,0.07921077588283452,0.18818409092421504,0.18999101312789252,0.18217708081007086,0.23836812774416874,,,,,,0.4399562446417643,0.49279580646668686,0.40830088401755094,0.4266786863189612,0.3343417713310249,0.45841920312270945,0.5636720051516751,0.6297728111840747,0.617654462460022,0.6776234128701878,1.119587106085366,1.0321753717128828,1.217750543049482,1.354352118521309,1.3098069704065154,1.4257074038769184,1.5620456910978489,1.3863790721912017,1.491268848598479,1.3590942777421289,1.2172258745927838,1.021969290327664,1.0230818307602776,1.173863801105697
Ch 2 Peak Width,38.51388985458347,43.40357329628573,10.514631164309415,1.8303623463217131,8.482123022770228,18.914215601430193,23.99644114451192,23.910911805051725,,,,,,,,,,,,42.299451563903915,,,39.66636332858289,36.886642071049806,45.950481549700186,40.57215071836589,44.26469977791852,44.6366561525676,44.82596475980843,41.00493299517595,42.54244681465294,45.13577817829651,44.37897001131638,44.31987291191116,45.22943720351995,45.73410914152084,47.526148339614494
Ch 2 Peak Max,1549.3240284358524,1709.9411115518435,328.04941733748774,57.10607360774233,937.5613594404439,971.0683673142935,969.1065820780327,860.3859742303846,,,,,,,,,,,,1335.8239241980573,,,1521.40997990183,1592.5112073457149,1630.1511900428075,1699.12808362751,1702.8628681169566,1725.256459007634,1717.0193549867304,1803.7888000801854,1767.134606026807,1833.5219557055325,1767.8757944334966,1838.8044294477963,1786.2372274837408,1774.2210941523394,1752.6113110967522
Ch 2 Peak Min,799.0908311436815,807.7224074919341,86.15912758648709,14.998378969443573,842.9873852082524,813.3532965782427,802.218853407669,611.7458351671647,,,,,,,,,,,,935.9650566993233,,,970.5856792779878,862.9673976632026,886.1259221224274,777.8300940189064,849.66381600356,830.6404818310425,813.2259615761991,826.749841973619,786.6017554814212,769.5364585125699,778.7200540383824,741.2554245159149,622.2163462670476,749.1952935909853,710.2316689397117
Ch 2 Peak Amp,750.2331972921708,899.2046852935614,341.5297576255781,59.45269964657825,94.57397423219152,157.71507073605073,166.88772867036369,248.64013906321986,,,,,,,,,,,,399.85886749873396,,,550.8243006238422,729.5438096825122,744.0252679203801,921.2979896086036,853.1990521133966,894.6159771765915,903.7933934105313,977.0389581065664,980.5328505453858,1063.9854971929626,989.1557403951142,1097.5490049318814,1164.0208812166932,1025.0258005613541,1042.3796421570405
