Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33
Ch1-Ch2 Shift,3.0,2.0,5.871642911161277,1.0221218345838448,-3.0,11.0,3.0,-2.0,-3.0,-5.0,-5.0,7.0,2.0,22.0,7.0,3.0,8.0,4.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
Ch 1 Peak Width,44.65699387596479,49.09780048818922,22.385987350210936,3.8969002041786234,9.370862958871145,23.034742744079747,13.520131926865695,22.63419613563191,,10.567330137640333,57.145107304702506,15.018486160359046,,40.56155139441077,,46.64658082303155,51.54902015334689,67.18671560244707,66.74147120275066,68.21070907620503,69.87942347732171,63.17940142211904,66.07674798881227,69.12593680495843,43.37747445381228,,,,,,,,,,,,
Ch 1 Peak Max,1099.34299960738,1226.17924206503,257.5027799608873,44.82548033766711,755.3085062869479,706.3509260315826,727.8205256497838,683.6750404046479,,821.7419515216764,858.4548358487799,1039.0394033575908,,1101.4045173509103,,1208.909298894154,1243.4491852359056,1316.0416083312427,1296.7193617485063,1319.0246392863016,1267.012068868719,1357.7399276670915,1341.8803904806311,1339.5771093276994,1404.0246966406717,,,,,,,,,,,,
Ch 1 Peak Min,779.6871591565668,804.39930708375,116.04470594240762,20.200790396522557,605.0361937768731,620.2405273221141,618.3501087318137,541.1589378634831,,703.3703948214476,736.9418078036975,872.0899749693472,,872.1318670537784,,897.0625155083211,857.2200140789926,819.0246075904632,793.3096328475125,805.6095580151568,790.9246768081312,870.5703683780607,838.047387085849,803.1890561523431,990.0912360108177,,,,,,,,,,,,
Ch 1 Peak Amp,319.65584045081334,349.037977271373,169.90636137993326,29.576901120980487,150.2723125100748,86.11039870946854,109.47041691797006,142.51610254116486,,118.37155670022878,121.51302804508236,166.94942838824363,,229.27265029713192,,311.84678338583296,386.229171156913,497.0170007407795,503.40972890099385,513.4150812711448,476.08739206058794,487.16955928903076,503.83300339478217,536.3880531753563,413.9334606298539,,,,,,,,,,,,
Ch 1 Peak Rel Amp,0.39670170102385105,0.3828535634635688,0.19276593330918754,0.03355624181857574,0.24836912907972683,0.1388338796261022,0.17703630252848998,0.26335350406264024,,0.16829192353237687,0.16488822693779145,0.19143601369126126,,0.26288759642696813,,0.3476310491126973,0.45056014186962523,0.606840131706156,0.6345690359186118,0.6373001364781292,0.6019377141978857,0.5595981404658477,0.6011987044631999,0.667822910517369,0.41807607781444023,,,,,,,,,,,,
Ch 2 Peak Width,32.97477994302543,22.83965094712636,24.313695466181176,4.232471114373498,10.684326731460033,17.752117475181493,12.19358683410853,9.765341219105055,,9.489192640109456,6.489644340405164,10.9032354980735,,17.34717707667444,,40.90959138099236,74.3393109236269,74.7369584737463,73.6427245389207,15.9558234516239,55.25702319851905,63.67606561388983,27.927184419071228,34.021977368213044,38.45475779073675,,,,,,,,,,,,
Ch 2 Peak Max,1060.116334382231,1054.4199499779395,130.10442034816714,22.648272523683733,968.7011429820341,921.5665632175007,935.5919270303548,731.5070337587856,,972.2857890512373,987.5611761328599,1098.1877462087314,,1018.5669604719776,,1023.5582678135181,1043.3850361845757,1065.4548637713033,1106.842646022722,1148.2412878712478,1139.0625553545194,1181.180960583065,1241.1232133359242,1263.9090059340713,1235.3678431557287,,,,,,,,,,,,
Ch 2 Peak Min,849.559535052305,863.3269245862534,74.70630657549734,13.004698733770313,820.406363256018,824.7076646266669,819.901962565913,599.7857216598472,,871.882964710765,866.7534145471255,977.8773996011812,,869.284637247196,,827.0040919324161,858.8879556729255,862.7600570887332,785.3652605488286,865.776820563535,844.1648907942639,863.8937920837736,903.0307457154826,890.9391298074331,939.6487585193871,,,,,,,,,,,,
Ch 2 Peak Amp,210.55679932992584,190.5256281963761,91.56603522609214,15.939600777314977,148.29477972601603,96.85889859083386,115.6899644644418,131.72131209893837,,100.4028243404723,120.8077615857344,120.31034660755017,,149.28232322478163,,196.55417588110197,184.4970805116502,202.69480668257006,321.4773854738934,282.46446730771277,294.8976645602555,317.2871684992913,338.09246762044165,372.96987612663816,295.71908463634156,,,,,,,,,,,,
Ch 2 Peak Rel Amp,0.24753185677287703,0.22727579260284397,0.1033446772666045,0.017989999174068606,0.1807577151613813,0.1174463421953044,0.14110219239186336,0.21961395101972878,,0.1151563092803167,0.13937962003744267,0.12303213741990325,,0.17173008336776882,,0.23767013706283407,0.21480925339918125,0.23493763418595917,0.40933486827420745,0.3262555205900019,0.3493365665596328,0.36727566676219764,0.37439751550493083,0.4186255420246853,0.31471236667444624,,,,,,,,,,,,
