Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51
Ch1-Ch2 Shift,12.901960784313726,15.0,7.703462175454502,1.0787004662352024,-12.0,5.0,4.0,1.0,4.0,1.0,2.0,-11.0,1.0,3.0,12.0,14.0,13.0,15.0,12.0,17.0,17.0,18.0,16.0,21.0,23.0,23.0,20.0,21.0,20.0,19.0,21.0,20.0,19.0,19.0,19.0,18.0,17.0,17.0,17.0,16.0,16.0,17.0,16.0,13.0,14.0,16.0,13.0,12.0,14.0,8.0,11.0,11.0,15.0,8.0,12.0
Ch 1 Peak Width,28.32320118046197,29.071441888837597,9.310828101830218,1.3037767156801172,16.252083723897673,13.096060004659845,8.196181296618706,15.612868419328171,7.733449623415652,9.764859122494546,13.729448707868471,38.709050827939905,37.903048183982776,34.903743415676345,29.22876877439456,41.26024542664646,39.55649840126545,40.96771166128114,58.59409923811927,40.817196880838154,26.179135205891342,29.778658627457,37.61570764999968,31.70253390385234,28.96390096781692,31.082700072920936,32.08507047401682,30.94591870758719,29.93734227103259,28.331589937818137,29.20822766833922,27.726651713150986,24.40962294996683,31.26434992058155,21.285634952787973,24.309101295507077,31.326616449553825,26.182018186091895,26.242212006380228,29.217753795962267,27.018266405708772,23.088462030827756,24.199905000234196,27.98737083921104,27.214363326792537,35.10675887664935,33.76960274603829,33.717890460438696,26.532363071521914,25.775926008692096,32.816879929572124,29.071441888837597,20.683901569060367,15.871483649943329,37.50858393489088
Ch 1 Peak Max,1277.5199505343935,1354.854713080245,331.9158042905599,46.477509032220965,564.7392132278527,553.4789091380031,580.1929176107528,588.3205816457597,696.3694482479486,679.6255421685967,798.3459303905152,848.06849017339,874.7283811759384,966.5411416477903,987.4178376014095,1129.2716228992515,1097.6741670334386,1180.65301617575,1227.722132568293,1315.4035255731133,1337.9936746431576,1356.518449014086,1396.6168584717611,1390.8113056329917,1487.2464960253506,1411.479581995324,1558.1583152667154,1533.7230841225683,1612.2792570677275,1619.2442044164163,1593.2875059090181,1641.588216756058,1733.9655436832104,1588.6934575719629,1738.5116101846966,1604.5946338044328,1495.1954713895357,1558.5593312088154,1621.7566717470654,1578.609789394763,1580.9701968583174,1581.7014564689475,1602.3181084649705,1547.4647870583271,1364.8230829000136,1267.5547602164804,1242.8118646116968,1272.8708344879744,1368.2935779255786,1354.854713080245,1288.4584535511178,1180.1144113268306,1191.5403238952254,1278.1729363294119,1084.1816544954715
Ch 1 Peak Min,499.5509172051333,493.81637923071753,57.29362279931614,8.02271189476955,429.9308639107607,416.30770521242675,424.7100802832892,407.85929448691877,489.5262142674758,542.134076781805,515.7758447845888,530.1146619503293,507.28365282736183,586.0667650143208,573.8453279432331,573.0445225180804,615.7058515493836,546.7718327709615,428.5116570492446,539.4932858031636,575.1080268798831,520.2093765791325,491.47978099988654,601.9006532511784,623.9532373221218,562.1959291679602,481.20593576974716,496.9132394412118,552.5967644437951,512.5026631294111,545.6324779532827,522.6801276617739,496.18413424182927,468.49925831744076,484.44677205079324,482.80267032889674,440.98201759390804,453.6835175314195,493.81637923071753,447.2987228389329,483.0474459495465,477.0407905032057,502.54460283306526,502.8195130432921,481.85048440293474,432.781470569058,423.6579471422132,458.6064151466253,445.987133301819,447.148573551548,431.8717065762545,451.42249009731563,619.3529865627758,514.1340805173851,423.65781537809903
Ch 1 Peak Amp,777.96903332926,836.3090724349535,329.9499688801851,46.20223701485848,134.808349317092,137.17120392557638,155.48283732746364,180.46128715884095,206.84323398047286,137.49146538679167,282.57008560592635,317.9538282230608,367.4447283485765,380.47437663346943,413.5725096581764,556.2271003811711,481.968315484055,633.8811834047885,799.2104755190485,775.9102397699496,762.8856477632745,836.3090724349535,905.1370774718746,788.9106523818133,863.2932587032287,849.2836528273638,1076.9523794969682,1036.8098446813565,1059.6824926239324,1106.7415412870052,1047.6550279557355,1118.9080890942842,1237.7814094413811,1120.1941992545221,1254.0648381339033,1121.791963475536,1054.2134537956276,1104.8758136773959,1127.9402925163479,1131.3110665558302,1097.922750908771,1104.6606659657418,1099.7735056319052,1044.645274015035,882.9725984970788,834.7732896474224,819.1539174694836,814.2644193413491,922.3064446237596,907.7061395286969,856.5867469748633,728.691921229515,572.1873373324496,764.0388558120268,660.5238391173725
Ch 1 Peak Rel Amp,1.5775590577943792,1.832461784470712,0.7054826089179342,0.09878732468959045,0.31355820350007185,0.3294947516178757,0.3660917047783604,0.4424596658655498,0.4225376046306159,0.25361155344257846,0.5478544380532988,0.5997831243778209,0.724337806472989,0.6491997146846782,0.7207038020863499,0.9706525034686486,0.782789889475978,1.1593157244263468,1.8650845604118609,1.4382203823256545,1.3265084333844823,1.6076393661615151,1.841656793348501,1.3106991130853516,1.3835864726150067,1.5106542199341217,2.2380280446338476,2.086500745778616,1.9176415078914442,2.1594844688788357,1.920074537874991,2.1407128947101066,2.4946009435241505,2.3910266224914976,2.588653512593572,2.3234999150094686,2.3906041782557055,2.435344840582353,2.2841289595810657,2.529207012654946,2.272908717590957,2.3156524304776798,2.1884097439948564,2.0775750481367905,1.832461784470712,1.928856354570336,1.9335266173928531,1.7755190342922114,2.0680113298237117,2.0299877786014116,1.9834287218433884,1.6142127102981219,0.923846901115176,1.4860692662955872,1.5590974960012935
Ch 2 Peak Width,31.351453565285848,34.482854334937784,10.870516906892954,1.5221768327811966,9.83836373964133,14.085492337131813,6.628290700435706,10.549712508033588,6.146024879487811,10.292559129273123,11.383776879429277,18.753506177209594,9.563019962354957,32.516281275483195,23.864284550489433,25.3491338110792,27.612583001397606,33.09101726457273,30.693982435751405,35.4762891887792,27.95119606015836,31.303377589978265,26.82502452023396,34.891127503683734,37.38195709721333,34.34973953653256,34.482854334937784,27.01913473502887,29.779178388228175,34.34469669766014,34.16541622261483,35.78083487937964,34.440184459535814,37.36141498949185,38.51425313951923,37.08152592310201,40.210689143048995,44.72706609477687,50.512564324598685,35.787991554668565,45.199565037605446,35.796917854113445,35.88268112791104,40.55317971681022,40.989703472800514,40.420186380404076,39.830420308931,39.72709177315207,38.83859340986042,35.21332823802274,36.87447571186229,45.4441310828459,39.779704208459194,37.62258129292671,33.997027178931305
Ch 2 Peak Max,1646.1243641389249,1800.1175655153024,438.1523486781305,61.35360076240824,600.356936090331,656.8843148401752,688.3744220037966,645.9449878016347,847.9245793057029,778.6249252883911,886.9865940198157,917.0762306361133,1087.3339242342797,1196.2098547334626,1282.2236301965393,1540.2651420064094,1556.5919638830565,1612.5803306056891,1838.688677387114,1732.254957455142,1844.5935654283658,1724.879311539286,1978.9297303318394,1929.6357428507883,1799.5666556636936,1802.2918133731168,1710.1754235469366,1816.452507865105,2077.4025971115248,1926.32493438963,1903.0971706033001,1861.8190437185294,1874.870846034318,2133.696477279531,1843.7663876527615,1948.331350758809,1975.8473811542103,1785.5126201498676,1854.6029702620715,2154.6678158671284,1868.6752204671889,2172.1907577659445,2131.0279027499423,1907.8653717106622,1944.7889885949435,1774.513108492139,1814.8591821931084,1989.9564193576539,1800.1175655153024,1899.79509049615,1782.8507506479632,1790.8848911383975,1785.5094863372933,1737.5734673252255,1736.9485522247855
Ch 2 Peak Min,558.2964440182037,568.9351740916459,93.8570319110934,13.142613253108546,396.72466732956457,369.064222102684,412.4729506604524,425.90968928119446,521.1957403513376,528.5119239734626,608.015629669479,619.1277262946843,601.7326798104782,574.8503601099786,691.1610992930919,651.7895733831084,518.8013798555785,568.9351740916459,592.2024718676848,545.821902456518,601.9703612238611,576.8841929244029,496.53453170761145,581.0521461590085,549.3837025445421,605.5061820463934,808.2889342592184,673.306858933608,584.2322851973197,614.3152103335681,612.090706011164,690.4508798311283,774.1431386212892,551.217416907105,648.1501479289943,651.4089109220263,656.4906528979957,484.60463157666186,476.4404229220668,518.7012153541903,632.8821641645104,621.2588580805398,584.8910609592433,549.2024997147382,545.426481055852,410.3648830287816,453.8071380833628,366.4958861068999,587.2961507218533,495.9490398878511,503.7177320542728,449.524543613923,465.43382520742693,531.2295799577296,494.149083458306
Ch 2 Peak Amp,1087.827920120721,1242.6232042045046,420.93297383625185,58.94240599735868,203.63226876076646,287.82009273749117,275.90147134334416,220.03529852044028,326.7288389543653,250.1130013149285,278.97096435033666,297.94850434142904,485.6012444238015,621.359494623484,591.0625309034474,888.475568623301,1037.790584027478,1043.6451565140433,1246.4862055194292,1186.433054998624,1242.6232042045046,1147.995118614883,1482.395198624228,1348.5835966917798,1250.1829531191515,1196.7856313267234,901.8864892877182,1143.145648931497,1493.170311914205,1312.009724056062,1291.0064645921361,1171.3681638874011,1100.7277074130288,1582.479060372426,1195.6162397237672,1296.9224398367828,1319.3567282562146,1300.9079885732058,1378.1625473400047,1635.9666005129382,1235.7930563026785,1550.9318996854047,1546.136841790699,1358.662871995924,1399.3625075390914,1364.1482254633574,1361.0520441097456,1623.460533250754,1212.821414793449,1403.8460506082988,1279.1330185936904,1341.3603475244745,1320.0756611298664,1206.3438873674959,1242.7994687664795
