Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40,Frame41,Frame42,Frame43,Frame44,Frame45,Frame46,Frame47,Frame48,Frame49,Frame50,Frame51
Ch1-Ch2 Shift,10.88,0.0,25.02929483625138,3.5048023076467913,63.0,-2.0,-1.0,58.0,1.0,,1.0,1.0,89.0,-1.0,0.0,-2.0,0.0,1.0,-2.0,0.0,-3.0,-1.0,-1.0,-1.0,55.0,54.0,86.0,-1.0,61.0,-1.0,-2.0,-1.0,1.0,65.0,-3.0,-1.0,-1.0,0.0,-4.0,-7.0,-2.0,-4.0,-3.0,2.0,13.0,-1.0,2.0,-3.0,11.0,1.0,12.0,2.0,1.0,10.0,2.0
Ch 1 Peak Width,27.091862311224517,26.38505656476042,11.890405828822589,1.6649898473110831,,,,,,,,,,,,,,52.5997020038336,,,,,,,43.27289873550384,,,36.14066529776473,38.03197490629168,47.38243150359792,35.4983017673479,44.84729912707592,22.651293568459323,18.331922361701103,16.81449054656592,,,31.710028163381082,29.946437867642345,26.377601775071938,29.08884783250238,19.74087982985425,26.3925113544489,9.159253523052627,,17.489790307386244,20.276098818884968,34.75580327474508,14.27075675312981,,17.251314285247012,7.948369966251988,9.165668777603258,26.024827806002165,29.219249938491572
Ch 1 Peak Max,666.4709573668058,663.6524251993403,59.4176920605801,8.32014108313395,,,,,,,,,,,,,,688.5622021723459,,,,,,,728.9600472479301,,,736.6317093292657,780.651716042746,721.8464614466986,754.2208263979867,704.7749653006101,717.7979025205171,732.3712184603834,708.9628814593889,,,678.8746260646064,690.80251607583,699.1823808583754,648.4302243340741,646.2463836560609,646.133314949752,627.7755374859139,,550.4090927202847,574.7833699797601,590.4010021317746,603.3985849469566,,623.4696251258058,648.4189231083208,610.9778449125802,609.4062230396762,604.7553117693011
Ch 1 Peak Min,486.8491820465792,493.44217502259585,33.127071836553554,4.638717893489113,,,,,,,,,,,,,,514.7872774725921,,,,,,,523.4459495438531,,,539.9069266872328,524.8683623637032,474.03766959536097,465.84592971131553,505.8643528404596,545.7238660286476,499.88127645470286,504.19167279452853,,,422.9253621928473,504.6309862114085,509.4875478380751,487.00307359048884,514.5012104790687,508.316752637851,516.9923162501857,,435.6677449288197,455.5557282223974,458.18321491165574,458.94027297057613,,453.73377044909887,470.5410879157965,470.6927102294261,451.99626592866747,440.3574049623007
Ch 1 Peak Amp,179.62177532022633,172.92448059581164,46.378320033363856,6.4942637873396665,,,,,,,,,,,,,,173.7749246997538,,,,,,,205.51409770407702,,,196.7247826420329,255.78335367904276,247.80879185133767,288.37489668667115,198.9106124601505,172.0740364918695,232.48994200568052,204.77120866486035,,,255.94926387175917,186.17152986442147,189.69483302030028,161.42715074358523,131.74517317699213,137.81656231190107,110.7832212357282,,114.74134779146499,119.22764175736268,132.21778722011885,144.45831197638046,,169.73585467670694,177.8778351925243,140.28513468315407,157.40995711100874,164.39790680700042
Ch 1 Peak Rel Amp,0.3701142103740994,0.36664701567467817,0.09940646454710399,0.013919689252894614,,,,,,,,,,,,,,0.33756647124793365,,,,,,,0.3926176100572912,,,0.36436795476786915,0.4873285799264841,0.5227618135555926,0.619034917543182,0.393209387740518,0.31531337953769556,0.46509031835431786,0.40613762526044345,,,0.6051877866692004,0.36892607658148713,0.3723247679462206,0.3314704967947001,0.2560638740855827,0.271123392248471,0.21428407686840242,,0.26336892994043354,0.26171911441569456,0.28856968766438185,0.31476494978605213,,0.3740868891215766,0.37802827374844594,0.2980397436254663,0.3482549945132747,0.37332835772586737
Ch 2 Peak Width,45.445875366969766,46.822090313968786,16.831953446205308,2.356944918600792,,,,,,,,,,,,,42.714821139080996,,,,40.287980809234284,,,42.628728359693994,,63.67988794293988,59.713420024459715,49.77279187631163,,,15.92028143113643,71.0042976428156,,50.76654661796821,29.327381949978715,,,,32.54258724429323,54.86672215290119,29.895787997659227,49.699327937036294,28.327579464573105,41.04888954501665,27.673950633342656,43.561464971600444,72.87108586976326,69.31011261312658,48.504528103419275,63.80886484874061,9.371402809806298,47.239024672006465,71.36168369389952,24.31739424341069,46.822090313968786
Ch 2 Peak Max,831.6676959540035,881.1645342915788,97.9585923925008,13.716946598663657,,,,,,,,,,,,,792.4410022766709,,,,889.2367099360156,,,893.7973922175603,,875.1393967769307,909.1943197741616,891.3290737148595,,,994.5345309529513,925.0511789643542,,946.5260675610377,965.2911505528108,,,,940.7111197746447,881.1645342915788,887.2131772871915,893.4811535050512,908.3357782897461,833.293500119845,888.1930658265205,706.9359472436435,690.54467331857,720.4053966839555,723.8399844781003,756.2400932400974,699.2103578671217,697.4464918445144,694.7577722717622,735.9026643519692,714.8112576364364
Ch 2 Peak Min,565.7297436888015,573.1349087974976,68.26925358537164,9.55960761470537,,,,,,,,,,,,,548.1893762802861,,,,548.6181847160882,,,624.9508067797722,,621.7943347768523,656.0851030175077,616.5271640860253,,,663.5437826655811,597.5687953590052,,653.3379373798989,638.0351321173018,,,,616.4678955142274,573.1349087974976,652.778274345877,566.7041134855833,597.7306931607635,599.5514907910016,582.1526960478006,442.64272589622226,439.3994319804368,429.80072284617756,540.3377458464879,513.869381913088,515.7722681359061,538.8408135506045,492.09291981436775,535.0020674740953,469.7743128191844
Ch 2 Peak Amp,265.9379522652023,264.2932213474212,50.42867938705992,7.061427540953383,,,,,,,,,,,,,244.25162599638486,,,,340.6185252199274,,,268.8465854377881,,253.34506200007831,253.10921675665395,274.8019096288342,,,330.99074828737014,327.482383605349,,293.18813018113883,327.25601843550896,,,,324.24322426041726,308.0296254940812,234.43490294131448,326.7770400194679,310.60508512898264,233.74200932884344,306.0403697787199,264.2932213474212,251.14524133813313,290.6046738377779,183.50223863161239,242.37071132700942,183.43808973121565,158.60567829390993,202.66485245739443,200.9005968778739,245.036944817252
Ch 2 Peak Rel Amp,0.47383263323836083,0.4716582070421977,0.09300508783512346,0.01302331722087991,,,,,,,,,,,,,0.44556067039048275,,,,0.6208662685802124,,,0.4301883964645038,,0.40744189490082444,0.38578717241488675,0.4457255505298231,,,0.4988227709070192,0.548024572482245,,0.4487541797387737,0.5129122237352651,,,,0.5259693596694917,0.5374469793514454,0.3591340462061675,0.5766272596992204,0.519640514838751,0.38986144296040764,0.5257046336062847,0.597080231720299,0.5715647837917887,0.6761381691342179,0.3396065517209788,0.4716582070421977,0.3556571399121437,0.2943460745833328,0.41184265063973224,0.375513683201984,0.5216056692132642
