Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40
Ch1-Ch2 Shift,13.0,1.0,32.62882161525298,5.159069683576681,-1.0,-1.0,-2.0,2.0,9.0,9.0,15.0,0.0,2.0,2.0,2.0,-5.0,,,,,,,,7.0,,-1.0,-1.0,,,-2.0,,,84.0,,142.0,,,1.0,-1.0,-2.0,55.0,0.0,10.0,1.0
Ch 1 Peak Width,21.991618105167674,21.77307429826803,9.676805296535662,1.5300372605516885,,26.825286505723966,42.45440580792919,10.101926580964388,27.8713379232412,9.42809444455677,27.907035553226432,,21.781820333414284,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.840527538084956,20.94141810141378,21.764328263121772,
Ch 1 Peak Max,885.8693777020748,896.8754743810155,133.88755866121514,21.1694817864422,,787.0912192573076,760.696451998321,613.3589787360204,832.750428950317,890.246723556169,903.504225205862,,1000.366299417587,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089.0449452990306,991.749815258562,989.8846893415712,
Ch 1 Peak Min,706.2996731555606,722.6031688893005,106.09145241708353,16.774531495667993,,604.5625766360042,634.6357070797665,487.0819289814072,675.9890381838228,734.5125913972086,710.6937463813924,,764.3013726108155,,,,,,,,,,,,,,,,,,,,,,,,,,,,879.7427724060888,810.3312969513476,761.1457009277527,
Ch 1 Peak Amp,179.56970454651412,181.97358046425887,36.70491700348635,5.8035569529229685,,182.52864262130333,126.06074491855452,126.27704975461319,156.76139076649417,155.7341321589604,192.81047882446956,,236.0649268067715,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.30217289294183,181.4185183072144,228.73898841381845,
Ch 1 Peak Rel Amp,0.2546205386109321,0.2485825483729308,0.037782118762347536,0.005973877505800009,,0.30191852700667643,0.19863481287337986,0.25925217553992524,0.23189930888178958,0.212023774654045,0.2712989664059858,,0.3088636698379664,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23791292120593638,0.22388190976919262,0.30051931993442366,
Ch 2 Peak Width,19.464495629116193,16.675299007327112,11.750186830987197,1.8578676659217748,,53.29171604427325,10.712304561661277,7.889656675827609,13.646486954153275,10.25623922732917,39.07629810972614,14.021755292253879,10.068769579656637,,12.979755682439366,9.056345013428249,23.446863000071,16.675299007327112,,16.782985231767654,17.227139083566755,17.77640615721531,29.44949493723504,28.538911137043513,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Max,884.9389160129531,903.1703874559402,81.71598271992087,12.920431331695553,,939.5405622177236,948.6672394557061,590.258055270296,906.7185438450057,912.3189396002186,920.3729928234642,897.8190922433397,903.1703874559402,,942.2085978426358,930.5415191301024,953.7405413588449,889.6927138518097,,854.6216892190133,882.1685996598633,810.8693684800955,873.7624652930645,887.4902644730782,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Min,746.2921218555699,769.4204394270467,78.81753240376919,12.462146097501833,,788.1669206861516,826.9316058197172,455.3447841332453,786.1051245223782,769.4204394270467,768.1338967947402,756.3679814854081,779.9956678584344,,770.1851097189116,781.4412620315926,778.7882058587211,724.2209512192032,,733.0220628676338,723.8775120459311,697.2248091306985,752.5423445802255,795.1973933646472,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Amp,138.64679415738325,141.4511107579316,22.032221961024483,3.483600165560944,,151.37364153157205,121.73563363598885,134.91327113705074,120.61341932262746,142.8985001731719,152.23909602872402,141.4511107579316,123.17471959750571,,172.02348812372418,149.10025709850981,174.9523355001238,165.47176263260644,,121.59962635137947,158.29108761393218,113.64455934939701,121.22012071283893,92.29287110843109,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Rel Amp,0.18881297576387215,0.18701361535709118,0.04043811654836029,0.0063938276290082495,,0.1920578465787314,0.14721366649822903,0.2962881663262266,0.1534316665292187,0.18572225645523802,0.19819343562884736,0.18701361535709118,0.15791718425269682,,0.22335343276956657,0.19080161791159922,0.22464687341690645,0.2284824297806352,,0.1658880851084798,0.21867109418352587,0.1629955759765481,0.16108079709515422,0.11606284411713244,,,,,,,,,,,,,,,,,,,,
