Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
Ch1-Ch2 Shift,4.2,5.0,4.63609030685699,1.1970333699980502,-1.0,9.0,3.0,4.0,1.0,-8.0,-1.0,4.0,8.0,8.0,8.0,9.0,8.0,6.0,5.0
Ch 1 Peak Width,27.808399987490166,32.80855031438987,10.69311622130228,2.7609507362776076,,12.501222481222179,8.387812375798157,,,7.978454499392697,36.216166576525936,31.62723087073436,33.004095999563575,34.279279313605585,33.962991168252465,33.473293038147325,32.613004629216164,31.53816167212533,38.11908722529825
Ch 1 Peak Max,965.2914670206364,1052.0568829318859,200.72662594645942,51.82739196206953,,626.7709142709159,626.3538591038608,,,746.3675213675235,838.9757834757859,903.818505568508,1028.6593499093528,1075.454415954419,1133.9502072002103,1160.6602564102595,1178.9970214970247,1167.1522274022307,1096.337542087545
Ch 1 Peak Min,578.730131622494,577.2442696192711,28.776103248157,7.429957909923814,,523.1193667443681,548.8937019770368,,,619.7978502978519,638.5336052836043,583.0479797979799,590.4876327376344,585.7670292670309,564.393421393423,574.4581067081083,564.0056332556348,572.2268194768211,580.030432530434
Ch 1 Peak Amp,386.5613353981424,463.9295519295532,200.25362430237777,51.70526346271906,,103.6515475265478,77.46015712682401,,,126.56967106967159,200.4421781921816,320.77052577052814,438.17171717171846,489.68738668738797,569.5567858067874,586.2021497021512,614.9913882413898,594.9254079254096,516.307109557111
Ch 1 Peak Rel Amp,0.669614021869635,0.7890134907883621,0.3527162338143484,0.09107093996666485,,0.19814129263006053,0.1411205062980748,,,0.20421121339618536,0.3139101474591229,0.550161456492263,0.7420506254131948,0.8359763561635294,1.0091485198403212,1.0204436892036242,1.0903993718847231,1.0396671174366512,0.8901379662178681
Ch 2 Peak Width,23.37591570380358,27.291915569353723,10.652410035353526,2.7504404442597976,7.546020290841014,7.545322850820547,9.555383241322625,,6.972305694029004,37.519337532046436,37.208694333194245,34.00597178157955,28.949127532014572,27.22421783755791,28.699684709957722,28.916880850201004,27.359613301149537,23.80163255467295,21.958627343863043
Ch 2 Peak Max,1302.3484324317694,1425.9133967884009,411.75768591289926,106.31537734757087,709.720473970476,709.3640248640269,720.0011439178126,,855.6970344470369,968.4572649572676,1212.2306397306431,1334.7463739963778,1517.0804195804237,1651.7163299663346,1625.445480445485,1723.8927738927787,1733.4831649831694,1742.1958041958092,1728.84712509713
Ch 2 Peak Min,704.2703453953466,724.7533022533037,45.7748316859129,11.819010719665883,618.0373607873624,608.1050893550911,630.0971898471917,,744.211408961411,733.99015799016,743.5710955710947,727.0213351463351,730.8629241129236,729.5912975912996,725.9671717171727,723.5394327894347,712.2638565138584,722.030303030305,710.4962121212116
Ch 2 Peak Amp,598.0780870364227,696.9712671587714,384.9155139018263,99.38475833590951,91.6831131831135,101.25893550893579,89.9039540706209,,111.48562548562586,234.4671069671076,468.65954415954843,607.7250388500427,786.2174954675002,922.125032375035,899.4783087283122,1000.353341103344,1021.219308469311,1020.1655011655041,1018.3509129759184
Ch 2 Peak Rel Amp,0.8310126027668977,0.9558247615307293,0.529830409119814,0.13680162338902013,0.148345583940608,0.16651552055965052,0.14268267740159896,,0.14980370381745467,0.3194417587411995,0.6302820899723082,0.8359108728600373,1.0757386502014212,1.2638925867391422,1.2390068639064262,1.3825830297136934,1.4337654496012482,1.41291230698206,1.4332953442997194
