Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33
Ch1-Ch2 Shift,1.4827586206896552,-1.0,10.89011158441668,1.8957250977112463,0.0,-2.0,-1.0,15.0,42.0,31.0,,-19.0,-4.0,-7.0,-8.0,-2.0,-2.0,,,,3.0,2.0,1.0,2.0,2.0,-2.0,-1.0,-2.0,-2.0,-2.0,-2.0,-1.0,-1.0,0.0,0.0,1.0,2.0
Ch 1 Peak Width,43.061742076852354,48.30437449358841,12.948637511478646,2.2540684658182233,12.643659485226184,9.456388238433284,7.746724183843256,42.56997044179298,,,,,,61.392438383938995,57.14382349274021,40.17509366346236,47.17183616693616,,39.735350132070835,35.709306946639884,38.58408225316953,38.617655322530894,43.320075271798004,49.104720039383494,47.515551601503915,51.372655755782176,48.58086022536889,49.67257526301807,48.52626772277832,52.179324252056404,51.832946048317424,48.86114472832398,48.779144593826935,48.618125128058914,45.73117701196739,49.32176522845644,48.30437449358841
Ch 1 Peak Max,1486.48183720715,1644.020849520854,349.99917425347235,60.927035840474296,727.5853405853426,729.6846024346044,731.0515626348979,696.5793188293208,,,,,,1207.6070318570353,1281.8435638435674,1419.614219114223,1423.0326987827027,,1534.9739704739745,1608.5409220409265,1520.398989898994,1652.78483553484,1644.020849520854,1693.5107485107533,1743.17605542606,1649.2456617456664,1777.8689458689505,1743.0895493395542,1739.7246827246877,1791.819153069158,1740.7566692566738,1783.7185962186013,1735.8703703703754,1692.3479668479715,1579.7437839937884,1586.600103600108,1699.8194120694168
Ch 1 Peak Min,794.7601189962312,755.8442760942781,139.13448512531784,24.22020503321824,601.5371341621359,605.1640766640769,600.7183372183389,548.1479538979554,,,,,,831.3875291375298,847.1590909090933,1000.1822714322718,992.0437062937083,,1049.1095571095568,1017.050116550116,924.7365967365965,1021.7187257187252,964.3480963480957,781.6207588707609,850.9504662004663,736.3170163170165,751.4127816627815,740.8472545972566,708.3075628075649,682.8909608909628,712.0626133126152,707.5143745143764,729.6499611499632,755.8442760942781,776.9091556591578,755.4212639212659,765.4715747215769
Ch 1 Peak Amp,691.7217182109188,802.8346283346306,320.39516824801797,55.7736398681464,126.0482064232067,124.52052577052746,130.333225416559,148.43136493136535,,,,,,376.2195027195055,434.6844729344741,419.4319476819512,430.9889924889944,,485.8644133644177,591.4908054908105,595.6623931623974,631.0661098161149,679.6727531727582,911.8899896399923,892.2255892255937,912.9286454286499,1026.456164206169,1002.2422947422976,1031.4171199171228,1108.928192178195,1028.6940559440586,1076.204221704225,1006.2204092204122,936.5036907536934,802.8346283346306,831.1788396788421,934.3478373478399
Ch 1 Peak Rel Amp,0.8861416441810152,1.033370018214648,0.46111654894966236,0.08027008796353803,0.20954351654245865,0.20576324764175993,0.21696228888246455,0.2707870454972048,,,,,,0.45252002169167793,0.513108432169465,0.4193555111523024,0.434445569035639,,0.4631207580484177,0.5815748859035349,0.6441427702380279,0.6176515061639819,0.7048002228102291,1.1666655207026955,1.0485047304920376,1.239858138815027,1.3660350066640485,1.3528325690929934,1.4561712652464525,1.6238729983061786,1.4446679782251584,1.5211058043066754,1.3790453817534105,1.2390167133274437,1.033370018214648,1.1002852042638187,1.2206172876996615
Ch 2 Peak Width,36.76218908766028,41.43014063088063,10.94620667447428,1.905489999499097,8.451985914929722,17.939807173948815,16.713928676369452,23.689771425893255,,,,,,22.671028621736696,,,,,,42.16199209390693,35.26060751163074,,39.02304738784058,36.96822696997238,39.426538431538305,38.77372116626397,44.341846005919976,44.33695196346509,44.820814793969895,40.69828916785432,42.23036885950179,44.508368794909714,44.36118402958139,44.28379332486396,44.55992335363753,46.292314636253515,47.25364962453816
Ch 2 Peak Max,1523.5859071484113,1711.0121406371454,339.1888281289721,59.04519612705153,949.6798756798784,979.8358585858614,950.9302318052344,863.8223905723928,,,,,,994.2321937321965,,,,,,1344.0806785806822,1370.3861046361083,,1527.332750582755,1590.0470085470129,1640.048497798502,1714.796296296301,1707.2279849779895,1741.2648277648327,1728.6430328930376,1813.331520331525,1775.0721963222013,1857.9206811706863,1772.0408572908623,1849.6151903651953,1799.2791375291424,1782.619658119663,1766.6829836829886
Ch 2 Peak Min,805.2400799957632,805.7389277389299,90.47376525851965,15.74946098168915,831.2490287490309,810.1102046102067,801.3676508676531,600.3714711214727,,,,,,845.513791763794,,,,,,931.6550116550131,970.0312742812753,,966.5303030303039,857.7453379953392,882.5707070707083,779.8238150738148,848.4608909608911,825.8350815850831,800.3940688940711,827.0341880341884,785.896140896143,768.3847448847469,776.8467689717686,737.7589355089362,623.6493783993797,738.325110075112,705.727855477857
Ch 2 Peak Amp,718.3458271526481,887.098420098424,358.8970553611093,62.47595812666423,118.43084693084745,169.72565397565472,149.5625809375813,263.4509194509201,,,,,,148.71840196840253,,,,,,412.425666925669,400.354830354833,,560.802447552451,732.3016705516736,757.4777907277937,934.9724812224863,858.7670940170984,915.4297461797496,928.2489639989665,986.2973322973367,989.1760554260583,1089.5359362859394,995.1940883190937,1111.856254856259,1175.6297591297628,1044.294548044551,1060.9551282051316
Ch 2 Peak Rel Amp,0.9200210011446536,1.0603183586748817,0.5067104628638752,0.08820696962357008,0.14247336578435132,0.20950933960561585,0.18663416320292886,0.43881318837286365,,,,,,0.17589116040102287,,,,,,0.44268067231563185,0.41272363166998677,,0.5802223125278132,0.8537518516430022,0.8582630090249612,1.19895348558185,1.0121469394358713,1.108489777913892,1.1597399332075966,1.1925714155078733,1.2586600238272183,1.4179562303118907,1.2810687101606006,1.5070725698350982,1.8850812649682458,1.4144101748595708,1.503348805024489
