Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33,Frame34,Frame35,Frame36,Frame37,Frame38,Frame39,Frame40
Ch1-Ch2 Shift,6.525,5.5,9.399434823434865,1.4861811380178394,13.0,0.0,-2.0,0.0,43.0,-22.0,36.0,10.0,7.0,12.0,7.0,7.0,6.0,7.0,5.0,5.0,3.0,2.0,9.0,6.0,7.0,14.0,8.0,10.0,7.0,8.0,4.0,6.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,10.0
Ch 1 Peak Width,40.87113786792232,44.204330972520694,15.031290519243422,2.3766557106252115,9.633147846896525,7.582260680480104,6.917540742959691,,,,,,,,,21.19618260133449,25.8525411600408,29.549917027596578,28.247447223196062,27.26139488891171,36.408717551074176,42.25576633730857,43.01138031603642,37.2065100813187,29.65589701766704,62.36409929480063,42.99981776559651,56.48033395412574,64.81304450060057,43.6429340666722,52.39905611006894,55.109221426158335,37.75594007780976,44.7657278783692,47.31192424167795,53.27334067289314,44.913922569951545,45.90770551551194,45.23591403407442,47.20770717654352,56.712749259739184,50.648558832074855,57.105553383981444,54.45015753804354
Ch 1 Peak Max,1123.2646407652949,1123.3243654493685,151.3090901752196,23.92406778207499,760.1981190106211,754.9332103082124,748.800666925669,,,,,,,,,992.456444789781,1116.5902615902646,1072.4290986791016,1072.267094017097,1108.3944573944605,1085.738798238801,1023.6177156177184,1097.9503367003397,1156.5865060865094,1041.520040145043,1082.4562937062965,1093.236013986017,1086.1537814037845,1107.0811318311348,1160.4456099456131,1151.6181041181073,1163.0483682983713,1130.0584693084725,1231.534835534839,1235.6768324268357,1186.7040922040956,1336.3264050764087,1334.8870111370147,1391.1640119140156,1304.5401450401487,1285.378399378403,1241.6554001554036,1213.25472675473,1177.766122766126
Ch 1 Peak Min,720.4057095730284,696.7635813260821,59.94574652640662,9.478254753128594,651.0688616938633,662.0595268928618,667.249498187,,,,,,,,,833.5490373823717,875.421846671847,819.4583009583009,786.3108003108025,757.0595053095074,759.7490287490292,788.2484783734784,804.7813390313413,809.2907925407927,761.8004726754737,717.5938228438223,709.7130924630944,740.0386557886563,695.4481028231024,715.6096866096868,675.1820124320127,698.0790598290617,700.4757187257206,690.6419968919972,678.4186739186758,685.4902874902893,666.9845247345265,645.4616679616697,676.164983164985,689.048756798757,687.7000129500149,665.0413105413124,661.7005957005956,678.1422558922577
Ch 1 Peak Amp,402.8589311922665,397.5779752654775,171.31104324196622,27.086654249210447,109.12925731675784,92.87368341535068,81.55116873866905,,,,,,,,,158.90740740740932,241.16841491841762,252.97079772080065,285.95629370629445,351.3349520849531,325.9897694897719,235.36923724424003,293.1689976689984,347.2957135457167,279.71956746956926,364.8624708624742,383.5229215229226,346.11512561512814,411.6330290080324,444.8359233359263,476.43609168609464,464.96930846930957,429.5827505827518,540.8928386428418,557.2581585081599,501.2138047138062,669.3418803418822,689.425343175345,714.9990287490307,615.4913882413916,597.6783864283881,576.6140896140912,551.5541310541344,499.62386687386834
Ch 1 Peak Rel Amp,0.5718912995871536,0.566143805847709,0.2699535628594646,0.042683406055667256,0.16761553767575374,0.14027995919221933,0.12221990269045348,,,,,,,,,0.19063954282333861,0.27548822985773613,0.30870490594209427,0.36366827670847895,0.46407838435542453,0.42907559885470725,0.29859776923377734,0.36428404021130173,0.42913587643246426,0.3671821920603212,0.5084526360839134,0.5403914984742458,0.46769871128728346,0.5918961132211721,0.6216180854725517,0.7056409722320162,0.6660696978694166,0.6132728645672869,0.7831739759194324,0.8214074581546088,0.7311756473586891,1.0035343482793606,1.06811198463963,1.0574327960644632,0.8932479482306815,0.8690975355148496,0.8670349953820979,0.8335403272081985,0.7367537747909457
Ch 2 Peak Width,9.512130529809525,9.512130529809525,1.8862969639346465,0.2982497374746986,11.39842749374417,7.625833565874878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Max,922.0527793965318,922.0527793965318,20.123243654493763,3.181764192936536,901.9295357420381,942.1760230510256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Min,802.428766835019,802.428766835019,7.085073491323442,1.1202484811131652,809.5138403263425,795.3436933436956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Amp,119.62401256151281,119.62401256151281,27.208317145817205,4.302012674049701,92.41569541569561,146.83232970733002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ch 2 Peak Rel Amp,0.1493884563399843,0.1493884563399843,0.035226485522487576,0.0055697964107003645,0.11416197081749672,0.18461494186247188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
