Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21
Ch1-Ch2 Shift,14.95,5.5,33.5774850160044,7.327207939623128,-1.0,6.0,10.0,0.0,25.0,-19.0,-3.0,115.0,111.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,8.0,7.0,8.0,8.0,
Ch 1 Peak Width,36.31819325479093,39.94319051984831,15.491139630274803,3.3804438074697387,6.484900370165046,6.9969338442631,8.821119947162282,9.358231512136825,,44.73434338873881,49.29710655682117,54.85894133716238,50.714933508395525,53.24001771679791,46.274133925541335,44.560079861511596,40.1526808988298,39.94319051984831,38.164086680466895,38.9937188654437,37.84807899650981,38.55234466961071,39.52725726665921,41.52357197496304,
Ch 1 Peak Max,1657.98153555347,1995.5096477596535,719.2955336513187,156.96315380956304,597.5287490287507,592.7624751791435,592.278373478375,672.942955192957,,814.6950919450942,982.519101269104,1192.254208754212,1568.0381377881422,1710.3131960632008,1995.5096477596535,2031.4430199430253,2255.4856902356964,2348.7782310282373,2398.983747733754,2338.179681429688,2428.6723646723713,2469.2360787360853,2296.008611758618,2216.0198135198198,
Ch 1 Peak Min,619.07620855428,614.4634809634827,48.999611341884595,10.69259180940966,537.6078951912294,540.2354959854972,542.941854441856,582.4711862211878,,685.8479020979039,707.940947940948,687.556526806527,662.5413752913771,646.7983035483053,643.3567081067099,671.682077182079,617.7621082621099,625.3185055685071,614.4634809634827,607.887982387984,579.0779590779607,603.1475653975672,604.5802900802905,601.2297979797981,
Ch 1 Peak Amp,1038.9053269991898,1352.1529396529436,714.047544540723,155.8179486978674,59.920853837521236,52.5269791936463,49.33651903651901,90.47176897176917,,128.8471898471903,274.57815332815596,504.69768194768494,905.4967624967651,1063.5148925148956,1352.1529396529436,1359.7609427609464,1637.7235819735865,1723.4597254597302,1784.5202667702715,1730.291699041704,1849.5944055944105,1866.0885133385182,1691.4283216783274,1614.7900155400216,
Ch 1 Peak Rel Amp,1.6753150230642526,2.0244115318151383,1.181309853889292,0.2577829440307097,0.11145828469689258,0.09722978142675838,0.09086888150709421,0.1553240247963328,,0.1878655449015247,0.3878546001990261,0.7340453653924849,1.3667022110106548,1.6442759461187553,2.1017157707612957,2.0244115318151383,2.651058651979862,2.7561310118158904,2.904192555059794,2.8463989240987275,3.1940335089586815,3.0939170120142627,2.797690148737233,2.6858116829303924,
Ch 2 Peak Width,38.19790711273107,40.333831793035884,16.6185517989297,3.6264653123399953,14.016906539812423,8.298793852225844,9.745550482191259,,,33.876209702960395,88.01920666448012,45.77860774170942,45.041132721542986,42.394677199456325,39.84826547837471,36.94717528094727,38.92903731117559,40.19667892796219,41.4906866478119,40.52062694345573,37.86222644004682,40.47098465810958,42.080917057793556,42.044644379103175,
Ch 2 Peak Max,2070.4337768712826,2464.023730898738,788.9366769184063,172.16009716692938,643.5664119830805,659.2208948458966,658.8845074678426,,,1152.386039886043,1365.7552447552484,1717.5098420098466,2159.370888370894,2280.0811965812027,2435.889730639737,2634.193926443934,2786.628075628084,2788.8337865837943,2714.5209790209865,2652.603211603219,2768.4463221963297,2797.5471380471454,2560.2120564620636,2492.1577311577385,
Ch 2 Peak Min,760.1167149894013,782.0530950530963,105.40827324365343,23.001971000649057,554.4894241560924,568.4696645946661,568.4958344125026,,,815.41588966589,842.5473322973328,829.7179487179494,859.5771173271178,911.1469826469852,874.9450919450942,866.9105154105157,799.2501295001298,801.3146853146859,764.8560606060628,763.6343563843584,697.9437321937339,733.5014245014245,701.5710955710956,728.3135845635866,
Ch 2 Peak Amp,1310.3170618818813,1662.3943926443974,737.8872822439158,161.02020596323757,89.0769878269881,90.75123025123048,90.38867305533995,,,336.97015022015296,523.2079124579157,887.7918932918972,1299.7937710437764,1368.9342139342175,1560.944638694643,1767.2834110334181,1987.3779461279541,1987.5191012691084,1949.6649184149237,1888.9688552188604,2070.5025900025958,2064.045713545721,1858.640960890968,1763.8441465941519,
Ch 2 Peak Rel Amp,1.6812180836398154,1.9113241304245023,0.9814350482272071,0.21416668562780056,0.1606468652897379,0.1596412894185629,0.1589961923797556,,,0.4132494282864953,0.620983406393692,1.0699923927928539,1.5121316573497514,1.5024296189373405,1.784048682671618,2.0385995781773865,2.486553173749134,2.4803228215998385,2.5490612140407602,2.4736561934729004,2.9665752330703206,2.813962788073239,2.6492553251185327,2.4218196446947595,
