Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
Ch1-Ch2 Shift,2.533333333333333,3.0,5.123366948490893,1.3228476578676494,1.0,-2.0,-3.0,-2.0,-1.0,-7.0,6.0,5.0,12.0,10.0,7.0,-1.0,7.0,3.0,3.0
Ch 1 Peak Width,18.636055884947176,13.146884247156677,10.467319766790288,2.7026503424137656,8.666789708355665,8.576293501497942,,12.391146880239546,12.568778039911514,11.851732861527893,,13.146884247156677,11.657592226096142,23.893690728482774,17.758873011316155,38.82455006538037,14.055273086742346,28.664482700342006,40.21263944726426
Ch 1 Peak Max,1052.3343757432035,1085.0425122662944,218.01875763696435,56.2922011659196,747.1635233453455,777.8268755331735,,755.8781412837399,897.3648100151645,874.2507647752451,,985.6560277329563,1425.2683641145259,1208.8140414364257,1204.2360506626305,1175.1392461462456,1238.646643954343,1305.059883395555,1085.0425122662944
Ch 1 Peak Min,383.1487791390982,383.46981379149383,64.5095315516155,16.65628942473658,319.6731326171903,345.3677631614713,,304.3495525453584,357.162469232401,422.6570424524955,,533.040686586144,357.87473443417684,424.71363446188855,419.1734885161501,279.90236414712103,440.6917860694109,392.85766079297514,383.46981379149383
Ch 1 Peak Amp,669.1855966041052,701.5726984748005,212.25988915785138,54.80526771841271,427.49039072815526,432.4591123717022,,451.5285887383815,540.2023407827635,451.5937223227496,,452.6153411468123,1067.393629680349,784.1004069745371,785.0625621464804,895.2368819991245,797.9548578849322,912.2022226025799,701.5726984748005
Ch 1 Peak Rel Amp,1.797333493392716,1.8106869315672944,0.6662834755886009,0.17203365365385648,1.3372734431206532,1.2521698852637635,,1.4835855185661508,1.5124834978987134,1.0684637352836879,,0.8491196873649263,2.9825900712660465,1.8461860965871535,1.8728821923484629,3.1983898554303534,1.8106869315672944,2.321966232658715,1.829538266749389
Ch 2 Peak Width,18.978840310938732,20.613900337800885,6.4452501523378345,1.66415643347635,9.065679713768324,,8.280107468123425,14.89040867147428,21.932512897591323,8.026617333495636,20.47040725879029,25.262818122099247,20.75739341681148,16.853924527102635,25.08607414801734,27.309558916652314,23.58388442953941,18.433633016144732,25.750744433531864
Ch 2 Peak Max,1373.3300321150048,1368.8892203367805,372.34236812181194,96.1383860548806,819.9165711263659,,918.4805613966504,834.9359164534036,1019.1352497541366,1162.0331556555398,1264.8487728278005,1272.4889073630402,1654.498454148813,1889.42525306862,1821.208871936155,1641.0449682407814,1554.2398921979427,1909.0743421302968,1465.2895333105205
Ch 2 Peak Min,442.2764759845199,447.25690833383396,61.49345951483432,15.877542973442223,445.27128918737566,,422.200218972949,373.43554968729893,529.7210241196294,449.2425274802922,510.79886547019464,490.43763074532376,475.9863889024755,485.9270814655456,381.7715509044201,424.2369146005533,517.4744812297288,325.9651490700444,359.40199194744787
Ch 2 Peak Amp,931.0535561304848,909.4083437929652,387.9232134539286,100.16134302095536,374.6452819389902,,496.28034242370137,461.50036676610466,489.41422563450715,712.7906281752475,754.0499073576059,782.0512766177164,1178.5120652463374,1403.4981716030743,1439.4373210317349,1216.808053640228,1036.765410968214,1583.1091930602524,1105.8875413630726
Ch 2 Peak Rel Amp,2.198152140322755,1.7990545287909625,1.135417709158985,0.293163591904115,0.8413865682261289,,1.1754620678098198,1.2358233359211461,0.9239093850350565,1.5866499375585428,1.4762168797369912,1.594598839059768,2.4759364820572674,2.8882896737719457,3.7704153639046583,2.868227661861845,2.003510218522157,4.856682371034914,3.077021180018325
