Parameter,Mean,Median,StdDev,SEM,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15,Frame16,Frame17,Frame18,Frame19,Frame20,Frame21,Frame22,Frame23,Frame24,Frame25,Frame26,Frame27,Frame28,Frame29,Frame30,Frame31,Frame32,Frame33
Ch1-Ch2 Shift,7.6875,1.0,28.04509482512049,4.882024368212247,4.0,4.0,-1.0,-4.0,7.0,-6.0,-5.0,3.0,2.0,0.0,-2.0,3.0,-1.0,0.0,144.0,2.0,-2.0,7.0,,1.0,7.0,6.0,1.0,4.0,-1.0,-2.0,-1.0,-5.0,77.0,-2.0,1.0,3.0,2.0
Ch 1 Peak Width,28.711678583548565,25.256800739742346,15.09198873222982,2.627178022216371,10.216475939928857,15.686781748931665,40.461490483517025,18.77244176176661,7.768147310877204,,7.159666996127001,15.20866610669961,10.743355453151082,10.311360151254988,14.248973498328994,,17.33709850731144,,,22.837931250172332,,25.002201744852698,37.837191316913746,25.511399734631993,32.58213950906986,47.720268666136,37.93014736572141,43.58073300277009,49.108160163022475,49.456175699748336,45.10267397606121,24.60606111700853,44.86044972329469,52.02071614258401,49.400895008737244,11.675207756271519,36.78019020446918
Ch 1 Peak Max,1864.5025331441518,2003.6179655620324,520.7770267328035,90.65564408922423,956.9457820087244,1116.674192163709,955.281670932026,862.30438326243,1197.6169875190922,,1075.7131997761428,1633.2636803755777,1788.693584581706,1813.274221505001,1651.8958166930286,,2063.7053699990875,,,2626.498356344525,,2553.374481773097,2204.297064241132,2966.9753533180274,2219.912970479417,2086.785678191284,2133.209415293343,2133.0164528556256,1920.0246195141406,2163.9669367152005,2042.1571878005557,2173.230845300787,1786.4061431963628,1744.756494476784,1965.0787433235091,2141.867252405726,2229.1440439902103
Ch 1 Peak Min,613.9194040710671,579.0460495215773,205.11473925277636,35.705893011087475,480.72633090815106,566.7495829733625,270.95277139333234,339.97154755371685,493.86388902473095,,533.2523948468033,532.5693731288166,696.9774506767553,726.3282638107853,777.881117522725,,787.6251161426042,,,1219.2543454990948,,1020.1767703935534,885.5759205829156,306.3761390125028,797.590444520519,694.7064404127375,597.3303666030945,636.2765253394643,498.8908993104835,349.7681060198556,503.282871751406,548.1260969023231,591.342516069792,662.2179419259842,538.0939899261607,504.58930347042497,629.2467982677808
Ch 1 Peak Amp,1250.583129073085,1355.4001907183815,468.7283469767655,81.59513192170435,476.2194511005734,549.9246091903465,684.3288995386937,522.3328357087131,703.7530984943612,,542.4608049293395,1100.6943072467611,1091.7161339049508,1086.9459576942156,874.0146991703035,,1276.0802538564833,,,1407.24401084543,,1533.1977113795438,1318.7211436582163,2660.5992143055246,1422.3225259588978,1392.0792377785467,1535.8790486902487,1496.7399275161613,1421.133720203657,1814.198830695345,1538.8743160491497,1625.1047483984642,1195.0636271265707,1082.5385525507997,1426.9847533973484,1637.277948935301,1599.8972457224295
Ch 1 Peak Rel Amp,2.2868722671997745,1.893556193167357,1.519485451735711,0.2645084656969372,0.9906248534398696,0.9703132136511747,2.5256390477928647,1.5364016179212245,1.4249940401273593,,1.0172683895497208,2.0667623088805147,1.5663578970093075,1.4964940948207053,1.123583899238652,,1.6201619624652008,,,1.1541841257653116,,1.5028745565222803,1.4891113376142726,8.684094077564406,1.7832742803406376,2.0038381059940766,2.5712388563543223,2.352341895243778,2.848586178196083,5.186861807784031,3.0576727371903663,2.9648373934074157,2.0209330373693706,1.6347164339920506,2.6519247196817135,3.2447733982360676,2.5425592154409036
Ch 2 Peak Width,21.859310883117352,19.687724545213882,12.60875873598828,2.1949031652717674,6.660418349362459,,9.099163241374477,11.420239061345763,10.978842898490683,10.597445046446104,14.65780837787473,7.914073502504344,17.524532367863102,8.954195793861544,9.989568270323112,12.656618706887393,,14.164682623142426,,,19.687724545213882,6.678840142492859,11.696078464759623,21.435670715232177,33.9067424591214,43.69259999048775,36.56014151569836,51.30561411365487,44.093103507758514,29.87479263447439,32.63210209533632,36.597824454046275,21.160584218570023,20.138462504815386,27.2736425135016,31.38514641905744,31.183357076706262
Ch 2 Peak Max,1844.9703680782875,2020.9961421639855,454.41833196791026,79.10407805227197,1394.5534391793167,,1503.328698496539,958.3319224158437,1064.777810379215,1112.7518868078369,1263.4202324482114,1350.2586651887405,1409.7711705543952,1499.467547992032,1478.467941925992,1471.5886867600234,,1868.486353584266,,,1822.8616014909821,2114.920023255699,2401.696839291258,2551.217815595452,2246.4568221211703,2020.9961421639855,2287.0065365869687,2109.647741535865,2053.209322922621,2184.733890817819,1898.0211854967206,2049.5211447449324,2161.2409408773165,2520.3686189490527,2267.565091474195,2300.2506995723907,2139.221901641494
Ch 2 Peak Min,641.1670666587503,608.7737406338838,171.87142805096235,29.918975320869897,586.6430306290497,,608.7737406338838,407.57827513072476,569.9802326655469,651.0608261202701,568.6219701044906,624.4017311360005,476.2656907971593,566.4869295428766,705.4449687841335,728.9212947115085,,952.7916388196161,,,871.1809379431805,1025.2571600893348,1082.6637678560742,797.3965149070045,627.0150129590725,266.9998804614204,586.0526322938938,619.0153878755314,550.9091017762375,617.9894860384404,603.4038556626001,611.1014556539062,767.2188534076652,597.0586173733077,507.9996033492564,506.0272384957725,509.58509788579977
Ch 2 Peak Amp,1203.803301419537,1294.6173298341205,444.1765301550001,77.32120919991775,807.910408550267,,894.5549578626551,550.7536472851189,494.79757771366815,461.69106068756673,694.7982623437208,725.8569340527399,933.5054797572359,932.9806184491554,773.0229731418584,742.6673920485149,,915.6947147646499,,,951.6806635478016,1089.6628631663643,1319.033071435184,1753.8213006884475,1619.4418091620978,1753.996261702565,1700.9539042930749,1490.6323536603336,1502.3002211463836,1566.7444047793786,1294.6173298341205,1438.4196890910262,1394.0220874696513,1923.310001575745,1759.5654881249386,1794.2234610766182,1629.636803755694
